Name,NumberOfInstances,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,NumberOfClasses,MajorityClassPercentage
abalone (1),4177,0,7,2,29,16.5
abalone (2),4177,0,7,2,2,50.18
abalone (3),4177,0,7,2,3,34.64
acute-inflammations (1),120,0,1,6,2,58.33
acute-inflammations (2),120,0,1,6,2,50.83
ada_agnostic (1),4562,0,48,1,2,75.19
ada_prior (1),4562,88,6,9,2,75.19
analcatdata_apnea1 (2),475,0,1,3,2,87.16
analcatdata_apnea2 (2),475,0,1,3,2,86.53
analcatdata_apnea3 (2),450,0,1,3,2,87.78
analcatdata_asbestos (1),83,0,1,3,3,54.22
analcatdata_authorship (1),841,0,70,1,4,37.69
analcatdata_authorship (2),841,0,70,1,2,62.31
analcatdata_bankruptcy (1),50,0,5,2,2,50
analcatdata_birthday (2),365,30,1,3,2,85.48
analcatdata_bondrate (1),57,1,4,8,5,57.89
analcatdata_bondrate (2),57,1,4,8,2,57.89
analcatdata_boxing1 (1),120,0,0,4,2,65
analcatdata_boxing2 (1),132,0,0,4,2,53.79
analcatdata_broadwaymult (1),285,27,3,5,7,41.4
analcatdata_broadwaymult (2),285,27,3,5,2,58.6
analcatdata_broadway (1),95,9,3,7,5,71.58
analcatdata_broadway (2),95,9,3,7,2,71.58
analcatdata_challenger (1),23,0,1,5,2,56.52
analcatdata_challenger (2),138,0,1,2,2,93.48
analcatdata_chlamydia (2),100,0,0,4,2,81
analcatdata_creditscore (1),100,0,3,4,2,73
analcatdata_cyyoung8092 (1),97,0,7,4,2,75.26
analcatdata_cyyoung9302 (1),92,0,6,5,2,79.35
analcatdata_dmft (1),797,0,0,5,6,19.45
analcatdata_dmft (2),797,0,0,5,2,80.55
analcatdata_draft (1),366,2,3,3,12,8.74
analcatdata_draft (2),366,1,3,3,2,91.26
analcatdata_election2000 (2),67,0,14,2,2,73.13
analcatdata_germangss (2),400,0,0,6,2,77.5
analcatdata_gsssexsurvey (2),159,6,4,6,2,77.99
analcatdata_gviolence (2),74,0,8,2,2,58.11
analcatdata_halloffame (2),1340,20,15,3,2,90.67
analcatdata_homerun (1),163,9,13,15,2,94.48
analcatdata_impeach (1),100,0,2,9,2,62
analcatdata_lawsuit (1),264,0,3,2,2,92.8
analcatdata_marketing (1),364,101,0,33,5,31.59
analcatdata_marketing (2),364,80,0,33,2,68.41
analcatdata_michiganacc (2),108,0,2,3,2,55.56
analcatdata_neavote (2),100,0,1,3,2,93
analcatdata_negotiation (2),92,26,4,2,2,71.74
analcatdata_olympic2000 (2),66,0,11,2,2,50
analcatdata_reviewer (1),379,1418,0,9,3,43.01
analcatdata_reviewer (2),379,1368,0,9,2,56.99
analcatdata_runshoes (2),60,14,4,7,2,60
analcatdata_seropositive (2),132,0,2,2,2,65.15
analcatdata_supreme (2),4052,0,7,1,2,76.04
analcatdata_uktrainacc (2),31,150,16,1,2,87.1
analcatdata_vehicle (2),48,0,0,5,2,56.25
analcatdata_vineyard (2),468,0,2,2,2,55.56
analcatdata_whale (1),228,20,6,2,2,50.88
analcatdata_wildcat (2),163,0,3,3,2,71.17
anneal (1),898,22175,6,33,6,76.17
anneal (3),898,22175,6,33,2,76.17
appendicitis (1),106,0,7,1,2,80.19
ar1 (1),121,0,29,1,2,92.56
ar3 (1),63,0,29,1,2,87.3
ar4 (1),107,0,29,1,2,81.31
ar5 (1),36,0,29,1,2,77.78
ar6 (1),101,0,29,1,2,85.15
arrhythmia (1),452,408,206,74,16,54.2
arrhythmia (2),452,408,206,74,2,54.2
arsenic-female-bladder (2),559,0,3,2,2,85.69
arsenic-female-lung (2),559,0,3,2,2,96.6
arsenic-male-bladder (2),559,0,3,2,2,95.71
arsenic-male-lung (2),559,0,3,2,2,97.67
artificial-characters (1),10218,0,7,1,10,13.86
audiology (1),226,317,0,70,24,25.22
audiology (2),226,317,0,70,2,74.78
auto93 (2),93,14,16,7,2,62.37
autoHorse (2),205,57,17,9,2,59.51
autoMpg (2),398,6,4,4,2,52.51
autoPrice (2),159,0,15,1,2,66.04
autos (1),205,59,15,11,7,32.68
autos (2),205,59,15,11,2,67.32
autoUniv-au1-1000 (1),1000,0,20,1,2,74.1
autoUniv-au4-2500 (1),2500,0,58,43,3,46.92
autoUniv-au6-1000 (1),1000,0,37,4,8,24
autoUniv-au6-400 (1),400,0,37,4,8,27.75
autoUniv-au6-750 (1),750,0,37,4,8,22
autoUniv-au7-1100 (1),1100,0,8,5,5,27.73
autoUniv-au7-500 (1),500,0,8,5,5,38.4
autoUniv-au7-700 (1),700,0,8,5,3,35
auto_price (2),159,0,14,2,2,66.04
BachChoralHarmony (1),5665,0,2,15,102,8.88
backache (1),180,0,6,27,2,86.11
badges2 (1),294,0,8,4,2,71.43
balance-scale (1),625,0,4,1,3,46.08
balance-scale (2),625,0,4,1,2,53.92
balloon (2),2001,0,2,1,2,75.91
banana (1),5300,0,2,1,2,55.17
bank-marketing (2),4521,0,7,10,2,88.48
bank8FM (2),8192,0,8,1,2,59.63
banknote-authentication (1),1372,0,4,1,2,55.54
baskball (2),96,0,4,1,2,51.04
biomed (1),209,15,7,2,2,64.11
blogger (1),100,0,0,6,2,68
blood-transfusion-service-center (1),748,0,4,1,2,76.2
bodyfat (2),252,0,14,1,2,50.79
bolts (2),40,0,7,1,2,65
boston (2),506,0,11,3,2,58.7
boston_corrected (2),506,0,17,4,2,55.93
braziltourism (1),412,96,4,5,7,77.18
braziltourism (2),412,96,4,5,2,77.18
breast-cancer-dropped-missing-attributes-values (1),277,0,0,10,2,70.76
breast-cancer (1),286,9,0,10,2,70.28
breast-tissue (1),106,0,9,1,6,20.75
breast-tissue (2),106,0,9,1,4,46.23
breast-w (1),699,16,9,1,2,65.52
breastTumor (2),286,9,1,9,2,58.04
bridges (1),107,73,3,10,6,41.12
bridges (2),107,73,0,13,6,41.12
bridges (3),105,61,3,10,6,41.9
bridges (4),105,61,0,13,6,41.9
bridges (5),107,71,3,10,2,58.88
cal_housing (1),20640,0,8,1,2,59.38
cardiotocography (1),2126,0,35,1,10,27.23
cardiotocography (2),2126,0,35,1,3,77.85
cars (1),406,14,6,3,3,62.56
cars (2),406,14,6,3,2,62.56
car (1),1728,0,0,7,4,70.02
car (2),1728,0,0,7,2,70.02
CastMetal1 (1),327,0,37,1,2,87.16
chatfield_4 (2),235,0,12,1,2,60.43
chess (1),28056,0,1,7,18,16.23
