Name,NumberOfNumericFeatures,PercentageOfNumericFeatures,MinMeansOfNumericAtts,MinStdDevOfNumericAtts,MinKurtosisOfNumericAtts,MinSkewnessOfNumericAtts,MeanMeansOfNumericAtts,MeanStdDevOfNumericAtts,MeanKurtosisOfNumericAtts,MeanSkewnessOfNumericAtts,MaxMeansOfNumericAtts,MaxStdDevOfNumericAtts,MaxKurtosisOfNumericAtts,MaxSkewnessOfNumericAtts,Quartile1MeansOfNumericAtts,Quartile2MeansOfNumericAtts,Quartile3MeansOfNumericAtts,Quartile1StdDevOfNumericAtts,Quartile2StdDevOfNumericAtts,Quartile3StdDevOfNumericAtts,Quartile1KurtosisOfNumericAtts,Quartile2KurtosisOfNumericAtts,Quartile3KurtosisOfNumericAtts,Quartile1SkewnessOfNumericAtts,Quartile2SkewnessOfNumericAtts,Quartile3SkewnessOfNumericAtts,NumberOfSymbolicFeatures,NumberOfBinaryFeatures,PercentageOfSymbolicFeatures,PercentageOfBinaryFeatures,MinAttributeEntropy,MeanAttributeEntropy,MaxAttributeEntropy,Quartile1AttributeEntropy,Quartile2AttributeEntropy,Quartile3AttributeEntropy,MinMutualInformation,MeanMutualInformation,MaxMutualInformation,Quartile1MutualInformation,Quartile2MutualInformation,Quartile3MutualInformation,EquivalentNumberOfAtts,MeanNoiseToSignalRatio,MinNominalAttDistinctValues,MeanNominalAttDistinctValues,MaxNominalAttDistinctValues,StdvNominalAttDistinctValues,NumberOfInstances,NumberOfFeatures,Dimensionality,NumberOfMissingValues,PercentageOfMissingValues,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfClasses,ClassEntropy,MinorityClassSize,MajorityClassSize,MinorityClassPercentage,MajorityClassPercentage
abalone (1),7.0,77.7777777777778,0.13951639932966245,0.041827056607257496,-0.04547558144296682,-0.6398732689817931,0.3827034098293376,0.17461838890742915,11.033153238707637,0.6203687756176066,0.8287421594445774,0.4903890182309973,76.02550922919771,3.1288173790658327,0.18059360785252573,0.3593674886282021,0.5239920995930093,0.0992398661336593,0.12009291256479986,0.2219629490332201,-0.023643504269978518,0.08401174900221431,0.5951236783694149,-0.6091981423290972,0.5918521514155093,0.7190979217612721,2.0,0.0,22.222222222222207,0.0,1.5815100477524742,1.5815100477524742,1.5815100477524742,1.5815100477524742,1.5815100477524742,1.5815100477524742,0.23398435498207998,0.23398435498207998,0.23398435498207998,0.23398435498207998,0.23398435498207998,0.23398435498207998,15.394222181644453,5.759041850783555,3.0,15.5,28.0,17.677669529663692,4177.0,9.0,0.0021546564519990424,0.0,0.0,0.0,0.0,28.0,3.602007147622906,1.0,689.0,0.0239406272444338,16.49509217141489
abalone (2),7.0,77.7777777777778,0.13951639932966245,0.041827056607257496,-0.04547558144296682,-0.6398732689817931,0.3827034098293376,0.17461838890742915,11.033153238707637,0.6203687756176066,0.8287421594445774,0.4903890182309973,76.02550922919771,3.1288173790658327,0.18059360785252573,0.3593674886282021,0.5239920995930093,0.0992398661336593,0.12009291256479986,0.2219629490332201,-0.023643504269978518,0.08401174900221431,0.5951236783694149,-0.6091981423290972,0.5918521514155093,0.7190979217612721,2.0,1.0,22.222222222222207,11.111111111111107,1.5815100477524742,1.5815100477524742,1.5815100477524742,1.5815100477524742,1.5815100477524742,1.5815100477524742,0.14436365338567,0.14436365338567,0.14436365338567,0.14436365338567,0.14436365338567,0.14436365338567,6.9268868864249065,9.955043119665604,2.0,2.5,3.0,0.7071067811865476,4177.0,9.0,0.0021546564519990424,0.0,0.0,0.0,0.0,2.0,0.9999906975135882,2081.0,2096.0,49.82044529566675,50.17955470433325
abalone (3),7.0,77.7777777777778,0.13951639932966245,0.041827056607257496,-0.04547558144296682,-0.6398732689817931,0.3827034098293376,0.17461838890742915,11.033153238707637,0.6203687756176066,0.8287421594445774,0.4903890182309973,76.02550922919771,3.1288173790658327,0.18059360785252573,0.3593674886282021,0.5239920995930093,0.0992398661336593,0.12009291256479986,0.2219629490332201,-0.023643504269978518,0.08401174900221431,0.5951236783694149,-0.6091981423290972,0.5918521514155093,0.7190979217612721,2.0,0.0,22.222222222222207,0.0,1.5815100477524735,1.5815100477524735,1.5815100477524735,1.5815100477524735,1.5815100477524735,1.5815100477524735,0.19664272719283998,0.19664272719283998,0.19664272719283998,0.19664272719283998,0.19664272719283998,0.19664272719283998,8.055032787425594,7.042555503217504,3.0,3.0,3.0,0.0,4177.0,9.0,0.0021546564519990424,0.0,0.0,0.0,0.0,3.0,1.5839636149471124,1323.0,1447.0,31.67344984438592,34.64208762269572
acute-inflammations (1),1.0,14.285714285714285,38.72416666666667,1.81913248478468,-1.5467826737574424,0.11250839562975903,38.72416666666667,1.81913248478468,-1.5467826737574424,0.11250839562975903,38.72416666666667,1.81913248478468,-1.5467826737574424,0.11250839562975903,38.72416666666667,38.72416666666667,38.72416666666667,1.81913248478468,1.81913248478468,1.81913248478468,-1.5467826737574424,-1.5467826737574424,-1.5467826737574424,0.11250839562975903,0.11250839562975903,0.11250839562975903,6.0,6.0,85.71428571428571,85.71428571428571,0.7978009196353439,0.935126776680657,0.9997996164111459,0.8580483768449167,0.9798687566511528,0.9898341865311492,0.01614408079381,0.199196538989672,0.47638175832061996,0.02946006464596,0.07181901063117001,0.432621777512635,4.9191053299473095,3.6944930942256073,2.0,2.0,2.0,0.0,120.0,7.0,0.05833333333333333,0.0,0.0,0.0,0.0,2.0,0.9798687566511528,50.0,70.0,41.66666666666667,58.33333333333334
acute-inflammations (2),1.0,14.285714285714285,38.72416666666667,1.81913248478468,-1.5467826737574424,0.11250839562975903,38.72416666666667,1.81913248478468,-1.5467826737574424,0.11250839562975903,38.72416666666667,1.81913248478468,-1.5467826737574424,0.11250839562975903,38.72416666666667,38.72416666666667,38.72416666666667,1.81913248478468,1.81913248478468,1.81913248478468,-1.5467826737574424,-1.5467826737574424,-1.5467826737574424,0.11250839562975903,0.11250839562975903,0.11250839562975903,6.0,6.0,85.71428571428571,85.71428571428571,0.7978009196353439,0.935126776680657,0.9997996164111459,0.8580483768449167,0.9798687566511528,0.9898341865311492,0.01614408079381,0.20878606842932396,0.44613593474209,0.02051334370065,0.20695044362329998,0.39797660556101,4.788631846619533,3.478875356557643,2.0,2.0,2.0,0.0,120.0,7.0,0.05833333333333333,0.0,0.0,0.0,0.0,2.0,0.9997996164111459,59.0,61.0,49.16666666666666,50.83333333333333
ada_prior (1),6.0,40.0,10.154537483559842,2.5302403047104534,-0.05077619416414736,-0.28797733757910504,32078.8478737396,19481.166749913493,24.63627243723889,2.8318688834099537,191077.22709338012,108007.33092017627,121.69949059317504,10.753121940290164,31.468544498027182,68.34294169224033,48677.14165935994,9.528459373210907,218.02938312909245,33323.74726030333,0.4995135461287261,3.771142714950889,43.882641149514505,0.07175642891950362,0.99371197611977,5.948513280890106,9.0,2.0,60.0,13.333333333333336,0.8223567833790162,1.7900302461856028,3.4002236588905155,0.9018541007621856,1.624541422254258,2.7045869245807856,0.00826636529637,0.0714217037438,0.15591799834523998,0.017670912822822498,0.06283142584161999,0.13451648790864998,11.317450768757336,24.062833177526823,2.0,10.888888888888893,39.0,11.580635177360143,4562.0,15.0,0.003288031565103025,88.0,0.128598567879585,88.0,1.9289785181937744,2.0,0.8083116159412278,1132.0,3430.0,24.813678211310826,75.18632178868917
analcatdata_apnea1 (2),1.0,25.0,10.0,5.483000195079379,-1.2067266277278037,0.0,10.0,5.483000195079379,-1.2067266277278037,0.0,10.0,5.483000195079379,-1.2067266277278037,0.0,10.0,10.0,10.0,5.483000195079379,5.483000195079379,5.483000195079379,-1.2067266277278037,-1.2067266277278037,-1.2067266277278037,0.0,0.0,0.0,3.0,1.0,75.0,25.0,2.3219280948873617,2.3219280948873617,2.3219280948873617,2.3219280948873617,2.3219280948873617,2.3219280948873617,0.12082212742739999,0.12523506850813498,0.12964800958887,0.12082212742739999,0.12523506850813498,0.12964800958887,4.4164303709610655,17.540558347972112,2.0,4.0,5.0,1.7320508075688772,475.0,4.0,0.008421052631578947,0.0,0.0,0.0,0.0,2.0,0.5530919600687171,61.0,414.0,12.842105263157894,87.1578947368421
analcatdata_apnea2 (2),1.0,25.0,10.0,5.483000195079379,-1.2067266277278037,0.0,10.0,5.483000195079379,-1.2067266277278037,0.0,10.0,5.483000195079379,-1.2067266277278037,0.0,10.0,10.0,10.0,5.483000195079379,5.483000195079379,5.483000195079379,-1.2067266277278037,-1.2067266277278037,-1.2067266277278037,0.0,0.0,0.0,3.0,1.0,75.0,25.0,2.3219280948873617,2.3219280948873617,2.3219280948873617,2.3219280948873617,2.3219280948873617,2.3219280948873617,0.15008737919425,0.150776473035095,0.15146556687594,0.15008737919425,0.150776473035095,0.15146556687594,3.782336366196081,14.399803750197195,2.0,4.0,5.0,1.7320508075688772,475.0,4.0,0.008421052631578947,0.0,0.0,0.0,0.0,2.0,0.5702873371274225,64.0,411.0,13.473684210526311,86.52631578947368
analcatdata_apnea3 (2),1.0,25.0,9.5,5.1939016836412915,-1.2075015806393137,0.0,9.5,5.1939016836412915,-1.2075015806393137,0.0,9.5,5.1939016836412915,-1.2075015806393137,0.0,9.5,9.5,9.5,5.1939016836412915,5.1939016836412915,5.1939016836412915,-1.2075015806393137,-1.2075015806393137,-1.2075015806393137,0.0,0.0,0.0,3.0,1.0,75.0,25.0,2.3219280948873617,2.3219280948873617,2.3219280948873617,2.3219280948873617,2.3219280948873617,2.3219280948873617,0.11685857314839,0.11758283656647996,0.11830709998457002,0.11685857314839,0.11758283656647996,0.11830709998457002,4.5560647725816965,18.74716857229899,2.0,4.0,5.0,1.7320508075688772,450.0,4.0,0.008888888888888889,0.0,0.0,0.0,0.0,2.0,0.5357150195407703,55.0,395.0,12.222222222222221,87.77777777777777
analcatdata_asbestos (1),1.0,25.0,147.07228915662648,75.88386234376878,-1.2403333647323869,0.025082469040279297,147.07228915662648,75.88386234376878,-1.2403333647323869,0.025082469040279297,147.07228915662648,75.88386234376878,-1.2403333647323869,0.025082469040279297,147.07228915662648,147.07228915662648,147.07228915662648,75.88386234376878,75.88386234376878,75.88386234376878,-1.2403333647323869,-1.2403333647323869,-1.2403333647323869,0.025082469040279297,0.025082469040279297,0.025082469040279297,3.0,2.0,75.0,50.0,0.976310287200458,1.129631700604039,1.28295311400762,0.976310287200458,1.129631700604039,1.28295311400762,0.15607925061010994,0.21896454489804504,0.28184983918597994,0.15607925061010994,0.21896454489804504,0.28184983918597994,4.528138503643231,4.158970833063507,2.0,2.333333333333333,3.0,0.5773502691896258,83.0,4.0,0.04819277108433735,0.0,0.0,0.0,0.0,2.0,0.9915017866855544,37.0,46.0,44.57831325301205,55.42168674698795
