Id,Name,Runs,NumberOfInstances,NumberOfFeatures,NumberOfClasses,NumberOfMissingValues,NumberOfNumericFeatures,CfsSubsetEval_NaiveBayesErrRate,MaxMeansOfNumericAtts,NaiveBayesErrRate,Quartile3SkewnessOfNumericAtts,NumberOfSymbolicFeatures,MinAttributeEntropy,RandomTreeDepth2AUC,Quartile1MutualInformation,MinMeansOfNumericAtts,MaxMutualInformation,RandomTreeDepth3Kappa,PercentageOfSymbolicFeatures,REPTreeDepth2AUC,J48.001.ErrRate,Dimensionality,Quartile3MutualInformation,Quartile2KurtosisOfNumericAtts,MaxSkewnessOfNumericAtts,CfsSubsetEval_DecisionStumpKappa,J48.0001.ErrRate,J48.00001.Kappa,RandomTreeDepth2ErrRate,Quartile1KurtosisOfNumericAtts,PercentageOfBinaryFeatures,Quartile1AttributeEntropy,MajorityClassPercentage,REPTreeDepth2ErrRate,Quartile1MeansOfNumericAtts,MaxAttributeEntropy,MinMutualInformation,CfsSubsetEval_NaiveBayesKappa,Quartile2MeansOfNumericAtts,Quartile2AttributeEntropy,StdvNominalAttDistinctValues,Quartile1SkewnessOfNumericAtts,Quartile1StdDevOfNumericAtts,MajorityClassSize,MinorityClassSize,EquivalentNumberOfAtts,Quartile2StdDevOfNumericAtts,Quartile3StdDevOfNumericAtts,MaxStdDevOfNumericAtts,RandomTreeDepth2Kappa,MeanStdDevOfNumericAtts,RandomTreeDepth3ErrRate,Quartile2SkewnessOfNumericAtts,PercentageOfNumericFeatures,MeanNoiseToSignalRatio,NumberOfBinaryFeatures,REPTreeDepth1AUC,REPTreeDepth1ErrRate,MaxKurtosisOfNumericAtts,REPTreeDepth2Kappa,NumberOfInstancesWithMissingValues,NaiveBayesKappa,CfsSubsetEval_NaiveBayesAUC,Quartile3AttributeEntropy,REPTreeDepth3Kappa,MinNominalAttDistinctValues,kNN1NAUC,J48.001.Kappa,MinKurtosisOfNumericAtts,DecisionStumpErrRate,MinStdDevOfNumericAtts,MeanAttributeEntropy,MeanSkewnessOfNumericAtts,DecisionStumpAUC,MinSkewnessOfNumericAtts,AutoCorrelation,J48.00001.AUC,REPTreeDepth1Kappa,RandomTreeDepth3AUC,MinorityClassPercentage,MaxNominalAttDistinctValues,PercentageOfInstancesWithMissingValues,MeanMeansOfNumericAtts,REPTreeDepth3AUC,Quartile3KurtosisOfNumericAtts,J48.0001.Kappa,CfsSubsetEval_DecisionStumpErrRate,J48.00001.ErrRate,RandomTreeDepth1Kappa,Quartile3MeansOfNumericAtts,RandomTreeDepth1AUC,CfsSubsetEval_kNN1NErrRate,DecisionStumpKappa,kNN1NErrRate,kNN1NKappa,MeanKurtosisOfNumericAtts,J48.001.AUC,CfsSubsetEval_kNN1NAUC,NaiveBayesAUC,PercentageOfMissingValues,MeanMutualInformation,Quartile2MutualInformation,CfsSubsetEval_DecisionStumpAUC,RandomTreeDepth1ErrRate,ClassEntropy,CfsSubsetEval_kNN1NKappa,REPTreeDepth3ErrRate,J48.0001.AUC,MeanNominalAttDistinctValues
3,kr-vs-kp (1),266964,3196.0,37.0,2.0,0.0,0.0,0.059136420525657075,,0.12108886107634545,,37.0,0.004094030352641959,0.9451363376145694,0.000777595577705,,0.19826687955488,0.8908498653739637,100.0,0.997615519019934,,0.011576971214017523,0.0184861208375775,,,0.8811920214059075,,,0.05444305381727159,,94.5945945945946,0.2875600035503529,52.221526908635795,0.013767209011264079,,0.9956521852360184,1.18053e-09,0.8811920214059075,,0.6794996247614244,0.1643989873053572,,,1669.0,1527.0,52.140401697162645,,,,0.8908498653739637,,0.05444305381727159,,0.0,29.814462977732955,35.0,0.997615519019934,0.013767209011264079,,0.972417266903898,0.0,0.7569708778154078,0.9619120657405762,0.9132329806576944,0.972417266903898,2.0,0.9728427352982838,,,0.3394868585732165,,0.5901482912442314,,0.6714034536324981,,0.9990610328638496,,0.972417266903898,0.9451363376145694,47.77847309136421,3.0,0.0,,0.997615519019934,,,0.059136420525657075,,0.8908498653739637,,0.9451363376145694,0.059136420525657075,0.3396437687719142,0.06914893617021277,0.8609676573571107,,,0.9619120657405762,0.9520419938608541,0.0,0.01915166562113,0.00542648921343,0.9619120657405762,0.05444305381727159,0.9985755386554582,0.8811920214059075,0.013767209011264079,,2.0270270270270268
6,letter (1),65478,20000.0,17.0,26.0,0.0,16.0,0.15215,8.338849999999995,0.36025,0.653378002627639,1.0,,0.9080139521161272,,3.046099999999995,,0.816017080292,5.882352941176469,0.9544303249787937,,0.00085,,0.8853044390128566,1.1599750154235924,0.8417568638675329,,,0.1769,0.3091324958538607,0.0,,4.065,0.20315,4.174812499999999,,,0.8417568638675329,5.9132250000000015,,0.0,-0.13733042812365298,2.0174388128267267,813.0,734.0,,2.2933721022270195,2.547423135491912,3.304555303560268,0.816017080292,2.273771145446362,0.1769,0.2543345879398813,94.11764705882351,,0.0,0.9544303249787937,0.20315,2.075245046157538,0.7887152321892192,0.0,0.6253250509940796,0.9425298055650914,,0.7887152321892192,26.0,0.9731018928391189,,-0.4211788221168451,0.9293,1.546722436319954,,0.29029703410184804,0.6574545268026781,-0.31007906987268463,0.04090204510225511,,0.7887152321892192,0.9080139521161272,3.67,26.0,0.0,5.9254656249999975,0.9544303249787937,1.1728389823381402,,0.15215,,0.816017080292,7.726012499999999,0.9080139521161272,0.15215,0.03276976655404448,0.05785,0.939833878217649,0.6977379005298701,,0.9425298055650914,0.9559207236903552,0.0,,,0.9425298055650914,0.1769,4.69981072657316,0.8417568638675329,0.20315,,26.0
12,mfeat-factors (1),31949,2000.0,217.0,10.0,0.0,216.0,0.1335,1141.5704999999996,0.0765,0.3665125978251143,1.0,,0.8927777777777776,,6.7674999999999965,,0.7855555555555556,0.4608294930875576,0.9486284722222221,,0.1085,,-0.4026911656287315,0.8630705307139119,0.8516666666666667,,,0.193,-0.6970467475463484,0.0,,10.0,0.1575,14.118125000000004,,,0.8516666666666667,146.4797499999999,,0.0,-0.2190263674003187,5.5426893179096135,200.0,200.0,,30.29006567694612,91.59687126428517,153.51158138902838,0.7855555555555556,49.58131318395632,0.193,-0.014119361298266794,99.53917050691244,,0.0,0.9486284722222221,0.1575,1.7012862999932459,0.8250000000000001,0.0,0.915,0.9360315277777779,,0.8250000000000001,10.0,0.9753261111111112,,-1.3893209589478623,0.8065,1.9854850353031408,,0.027560516903782386,0.7207469444444443,-1.0738237890694695,0.9954977488744372,,0.8250000000000001,0.8927777777777776,10.0,10.0,0.0,318.2703888888889,0.9486284722222221,0.01138630535997398,,0.1335,,0.7855555555555556,684.5027499999998,0.8927777777777776,0.1335,0.10388888888888888,0.044,0.9511111111111108,-0.315188200704828,,0.9360315277777779,0.9919075,0.0,,,0.9360315277777779,0.193,3.3219280948873617,0.8516666666666667,0.1575,,10.0
14,mfeat-fourier (1),31436,2000.0,77.0,10.0,0.0,76.0,,0.37731057175,,0.7107847694791952,1.0,,,,0.07169202572000001,,,1.2987012987012987,,,0.0385,,0.06302301358113738,1.029985534649324,,,,,-0.17890148800194938,0.0,,10.0,,0.08632613466250001,,,,0.1064998764125,,0.0,0.4089907636277701,0.04270430540290948,200.0,200.0,,0.05275929753572176,0.08633520114293441,0.17623067063193093,,0.0671079516668835,,0.5542281675523084,98.7012987012987,,0.0,,,1.9949226202588048,,0.0,,,,,10.0,,,-1.1252793103314485,,0.03755549891733618,,0.5447006835842777,,-0.12062462029872045,0.9954977488744372,,,,10.0,10.0,0.0,0.13203208401769734,,0.4381040236923678,,,,,0.15576810663375,,,,,,0.11900628082326806,,,,0.0,,,,,3.3219280948873617,,,,10.0
16,mfeat-karhunen (1),32467,2000.0,65.0,10.0,0.0,64.0,0.2105,2.8911711242900013,0.068,0.0591765364965291,1.0,,0.83,,-1.81970727405,,0.6599999999999999,1.5384615384615383,0.9227765277777779,,0.0325,,-0.017345885787890536,0.4187220480956684,0.7661111111111111,,,0.306,-0.14952953711034322,0.0,,10.0,0.2055,-0.29841679518749986,,,0.7661111111111111,0.004483087817499814,,0.0,-0.10420201025097076,1.1438482801014436,200.0,200.0,,1.6476505065816718,2.6614803695239697,7.691305182325388,0.6599999999999999,2.1526628287026788,0.306,-0.020815908469464902,98.46153846153848,,0.0,0.9227765277777779,0.2055,0.580942601366925,0.7716666666666666,0.0,0.9244444444444444,0.8933529166666667,,0.7716666666666666,10.0,0.9722748611111108,,-0.944709265915264,0.8045,0.8923441138647591,,-0.004285662607736754,0.6936666666666667,-0.3391130927319128,0.9954977488744372,,0.7716666666666666,0.83,10.0,10.0,0.0,0.053084739246640686,0.9227765277777779,0.07165494057478039,,0.2105,,0.6599999999999999,0.3324611388650001,0.83,0.2105,0.10611111111111113,0.05,0.9444444444444444,-0.04565484575249607,,0.8933529166666667,0.9956313888888888,0.0,,,0.8933529166666667,0.306,3.3219280948873617,0.7661111111111111,0.2055,,10.0
18,mfeat-morphological (1),31488,2000.0,7.0,10.0,0.0,6.0,0.295,6155.2004351565565,0.2995,0.7676581134191288,1.0,,0.8167274999999999,,0.4924999999999951,,0.6283333333333333,14.285714285714285,0.9442476388888889,,0.0035,,-0.6352635311790746,1.0084830014756712,0.6722222222222222,,,0.3345,-0.8692491113871175,0.0,,10.0,0.2935,0.6582499999999927,,,0.6722222222222222,1.686534392555002,,0.0,0.2147713147724888,0.5715449990560861,200.0,200.0,,0.9208719889146832,958.1661269687644,3757.634467006599,0.6283333333333333,630.90708251402,0.3345,0.6245331546193721,85.71428571428571,,0.0,0.9442476388888889,0.2935,0.0794938700561878,0.6738888888888889,0.0,0.6672222222222223,0.9114204166666668,,0.6738888888888889,10.0,0.8227808333333333,,-1.0383559313284294,0.8015,0.2913157171953473,,0.5315671843447396,0.7612499999999999,-0.06283666261436584,0.9954977488744372,,0.6738888888888889,0.8167274999999999,10.0,10.0,0.0,1052.6997316402776,0.9442476388888889,-0.11149071301766612,,0.295,,0.6283333333333333,1656.114273214139,0.8167274999999999,0.295,0.10944444444444444,0.3295,0.6338888888888888,-0.536236922624337,,0.9114204166666668,0.9512127777777779,0.0,,,0.9114204166666668,0.3345,3.3219280948873617,0.6722222222222222,0.2935,,10.0
22,mfeat-zernike (1),31345,2000.0,48.0,10.0,0.0,47.0,0.314,508.902571633625,0.2705,1.2548334728305888,1.0,,0.7797222222222222,,0.07855426092000001,,0.5594444444444445,2.083333333333333,0.8958765277777778,,0.024,,0.444046398140002,1.794599514537336,0.6511111111111112,,,0.3965,-0.4612428052581321,0.0,,10.0,0.3295,7.5373834934350015,,,0.6511111111111112,69.881896744535,,0.0,0.37904887836339535,3.7579900876369465,200.0,200.0,,37.878377911282136,65.21134486568818,124.19249364407264,0.5594444444444445,40.12545292175521,0.3965,0.7415928908678675,97.91666666666666,,0.0,0.8958765277777778,0.3295,4.370101298879665,0.6338888888888888,0.0,0.6994444444444445,0.8614040277777776,,0.6338888888888888,10.0,0.8854525,,-0.9914117205299372,0.8059999999999999,0.0665520027146517,,0.7908300764747563,0.6806197222222223,0.005491522368602323,0.9954977488744372,,0.6338888888888888,0.7797222222222222,10.0,10.0,0.0,88.63642941472712,0.8958765277777778,1.8699835840120704,,0.314,,0.5594444444444445,126.83265674023001,0.7797222222222222,0.314,0.10444444444444444,0.2065,0.7705555555555555,0.7353956813037765,,0.8614040277777776,0.9590269444444444,0.0,,,0.8614040277777776,0.3965,3.3219280948873617,0.6511111111111112,0.3295,,10.0
23,cmc (1),22371,1473.0,10.0,3.0,0.0,2.0,,32.538357094365246,,1.0990139461060884,8.0,0.380671663040156,,0.00982050143438,3.2613713509843865,0.07090633894894,,80.0,,,0.006788866259334691,0.04013859922938,0.2928560302339025,1.0990139461060884,,,,,-0.9438944908638564,30.0,0.6082239803272842,42.70196877121521,,3.2613713509843865,1.8667550694041888,0.00258233237972,,17.899864222674815,1.4479885111323352,0.9910312089651148,0.2564492054818928,2.3585488626874125,629.0,333.0,53.27488523845121,5.2928968090790125,8.227244755470611,8.227244755470611,,5.2928968090790125,,0.6777315757939906,20.0,41.25937202912456,3.0,,,1.5296065513316617,,0.0,,,1.757839343635201,,2.0,,,-0.9438944908638564,,2.3585488626874125,1.2208122969788784,0.6777315757939906,,0.2564492054818928,0.9966032608695652,,,,22.606924643584524,4.0,0.0,17.89986422267482,,1.5296065513316617,,,,,32.538357094365246,,,,,,0.2928560302339025,,,,0.0,0.028888557457444283,0.03047421456026,,,1.5390345832497478,,,,3.125
24,mushroom (1),16398,8124.0,23.0,2.0,2480.0,0.0,0.013047759724273756,,0.048990645002461836,,23.0,0.0,0.9995247148288974,0.034184520425602494,,0.906074977384,0.9990140245420992,100.0,0.9999987256143268,,0.002831117676021664,0.27510225484918505,,,0.9738461616958994,,,0.0004923682914820286,,21.73913043478261,0.8286618104993447,51.797144263909395,0.00036927621861152144,,3.030432883772633,0.0,0.9738461616958994,,1.467128011861462,3.1809710899501766,,,4208.0,3916.0,5.0393135801657,,,,0.9990140245420992,,0.0004923682914820286,,0.0,6.108305922031972,5.0,0.9999987256143268,0.00036927621861152144,,0.9992605118549308,2480.0,0.9015972799616292,0.9910519616800724,2.0533554351937418,0.9992605118549308,1.0,1.0,,,0.11324470704086655,,1.4092554739602103,,0.8894935275772204,,0.726332635725717,,0.9992605118549308,0.9995247148288974,48.20285573609059,12.0,30.526834071885773,,0.9999987256143268,,,0.013047759724273756,,0.9990140245420992,,0.9995247148288974,0.013047759724273756,0.77457574608175,0.0,1.0,,,0.9910519616800724,0.9976229672941662,1.3272536552993814,0.19825475850613955,0.17460654518315502,0.9910519616800724,0.0004923682914820286,0.9990678968724604,0.9738461616958994,0.00036927621861152144,,5.130434782608695
26,nursery (1),2210,12960.0,9.0,5.0,0.0,0.0,,,,,9.0,1.0,,0.0071510516553575,,0.95877496046997,,100.0,,,0.0006944444444444446,0.16557061224186498,,,,,,,,11.111111111111107,1.584962500721156,33.33333333333333,,,2.3219280948873617,0.0043331270252,,,1.584962500721156,1.0137937550497031,,,4320.0,2.0,10.630221276614538,,,,,,,,0.0,9.575886330093477,1.0,,,,,0.0,,,2.0,,2.0,,,,,,1.7077222622214985,,,,0.2393703217840883,,,,0.015432098765432096,5.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.16147320507428375,0.020917320958445,,,1.7164959001837932,,,,3.5555555555555562
