"Name","Runs","NumberOfInstances","NumberOfFeatures","NumberOfClasses","NumberOfMissingValues","NumberOfNumericFeatures","CfsSubsetEval_NaiveBayesErrRate","MaxMeansOfNumericAtts","NaiveBayesErrRate","Quartile3SkewnessOfNumericAtts","NumberOfSymbolicFeatures","MinAttributeEntropy","RandomTreeDepth2AUC","Quartile1MutualInformation","MinMeansOfNumericAtts","MaxMutualInformation","RandomTreeDepth3Kappa","PercentageOfSymbolicFeatures","REPTreeDepth2AUC","J48.001.ErrRate","Dimensionality","Quartile3MutualInformation","Quartile2KurtosisOfNumericAtts","MaxSkewnessOfNumericAtts","CfsSubsetEval_DecisionStumpKappa","J48.0001.ErrRate","J48.00001.Kappa","RandomTreeDepth2ErrRate","Quartile1KurtosisOfNumericAtts","PercentageOfBinaryFeatures","Quartile1AttributeEntropy","MajorityClassPercentage","REPTreeDepth2ErrRate","Quartile1MeansOfNumericAtts","MaxAttributeEntropy","MinMutualInformation","CfsSubsetEval_NaiveBayesKappa","Quartile2MeansOfNumericAtts","Quartile2AttributeEntropy","StdvNominalAttDistinctValues","Quartile1SkewnessOfNumericAtts","Quartile1StdDevOfNumericAtts","MajorityClassSize","MinorityClassSize","EquivalentNumberOfAtts","Quartile2StdDevOfNumericAtts","Quartile3StdDevOfNumericAtts","MaxStdDevOfNumericAtts","RandomTreeDepth2Kappa","MeanStdDevOfNumericAtts","RandomTreeDepth3ErrRate","Quartile2SkewnessOfNumericAtts","PercentageOfNumericFeatures","MeanNoiseToSignalRatio","NumberOfBinaryFeatures","REPTreeDepth1AUC","REPTreeDepth1ErrRate","MaxKurtosisOfNumericAtts","REPTreeDepth2Kappa","NumberOfInstancesWithMissingValues","NaiveBayesKappa","CfsSubsetEval_NaiveBayesAUC","Quartile3AttributeEntropy","REPTreeDepth3Kappa","MinNominalAttDistinctValues","kNN1NAUC","J48.001.Kappa","MinKurtosisOfNumericAtts","DecisionStumpErrRate","MinStdDevOfNumericAtts","MeanAttributeEntropy","MeanSkewnessOfNumericAtts","DecisionStumpAUC","MinSkewnessOfNumericAtts","AutoCorrelation","J48.00001.AUC","REPTreeDepth1Kappa","RandomTreeDepth3AUC","MinorityClassPercentage","MaxNominalAttDistinctValues","PercentageOfInstancesWithMissingValues","MeanMeansOfNumericAtts","REPTreeDepth3AUC","Quartile3KurtosisOfNumericAtts","J48.0001.Kappa","CfsSubsetEval_DecisionStumpErrRate","J48.00001.ErrRate","RandomTreeDepth1Kappa","Quartile3MeansOfNumericAtts","RandomTreeDepth1AUC","CfsSubsetEval_kNN1NErrRate","DecisionStumpKappa","kNN1NErrRate","kNN1NKappa","MeanKurtosisOfNumericAtts","J48.001.AUC","CfsSubsetEval_kNN1NAUC","NaiveBayesAUC","PercentageOfMissingValues","MeanMutualInformation","Quartile2MutualInformation","CfsSubsetEval_DecisionStumpAUC","RandomTreeDepth1ErrRate","ClassEntropy","CfsSubsetEval_kNN1NKappa","REPTreeDepth3ErrRate","J48.0001.AUC","MeanNominalAttDistinctValues"
"credit-g (1)","504172","1000","21","2","0","7","0.273","3271.257999999999","0.248","1.909444721297511","14","0.2283640258405646","0.6580238095238096","0.005310005973835","1.1549999999999998","0.09473884155264","0.2781007751937982","66.66666666666666","0.7002928571428572","","0.021","0.02650410754481","0.9197813600546327","1.9496276798326246","0.3056968463886062","","","0.298","-1.2104731179379757","14.285714285714285","0.9089779148834296","70","0.269","1.407","2.6666777598518516","0.00096366001491","0.3056968463886062","2.9730000000000003","1.5321036281187235","2.0380986614602725","-0.2725698140337198","0.5776544682460991","700","300","43.593036016305035","1.1187146743126737","12.058814452756392","2822.7368759604396","0.2781007751937982","407.04761882821174","0.298","1.09418417155554","33.33333333333333","69.92749860170595","3","0.7002928571428572","0.269","4.292590308048501","0.22254335260115596","0","0.3724696356275304","0.7208285714285714","1.8749120301493503","0.22254335260115596","2","0.649047619047619","","-1.3814485027493755","0.3","0.3620857717531919","1.433893225502841","0.9203791257169068","0.6647619047619048","-0.5313481143125632","0.5695695695695696","","0.22254335260115596","0.6580238095238096","30","10","0","476.58385714285697","0.7002928571428572","1.6492736936699308","","0.273","","0.2781007751937982","35.54600000000001","0.6580238095238096","0.273","0","0.286","0.30447470817120614","0.9242775257981102","","0.7208285714285714","0.786047619047619","0","0.02021632305905615","0.01275318647802","0.7208285714285714","0.298","0.8812908992306927","0.3056968463886062","0.269","","4"
"blood-transfusion-service-center (1)","462271","748","5","2","0","4","","1378.6764705882335","","3.2112654741848523","1","","","","5.514705882352952","","","20","","","0.0066844919786096255","","12.633750101130904","3.2112654741848643","","","","","2.1636136713782106","20","","76.20320855614973","","6.512700534759367","","","","21.89438502673798","","0","1.0322036011463176","6.403329251142325","570","178","","16.23605500195668","1100.9642641715316","1459.826780772504","","374.5345494748768","","2.5458645034443492","80","","1","","","15.876151978542005","","0","","","","","2","","","-0.24563117940242574","","5.8393071230900295","","2.263111192925173","","0.7494502906271294","0.7309236947791165","","","","23.796791443850267","2","0","356.99498663101565","","15.876151978541927","","","","","1042.5778743315495","","","","","","10.224505250350347","","","","0","","","","","0.7916446298452329","","","","2"
"monks-problems-2 (1)","394295","601","7","2","0","0","","","","","7","0.9999820261996926","","0.0012604335734449999","","0.00684214329877","","100","","","0.011647254575707155","0.0059858732349625","","","","","","","","42.857142857142854","0.99999400873876","65.72379367720465","","","1.9993734446391016","0.00007829360624","","","1.5846420186297692","0.7559289460184545","","","395","206","255.34844685504277","","","","","","","","0","400.6828667430599","3","","","","","0","","","1.6885532408585777","","2","","","","","","1.4589306695469753","","","","0.44","","","","34.27620632279534","4","0","","","","","","","","","","","","","","","","","","0","0.0036320460501","0.003758454643025","","","0.9274373177990278","","","","2.7142857142857144"
"tic-tac-toe (1)","380869","958","10","2","0","0","0.23903966597077245","","0.2870563674321503","","10","1.4706284549040332","0.7703626005619924","0.00700514266598","","0.08718670223057","0.49792748582590873","100","0.8254263058624274","","0.010438413361169102","0.01355667250927","","","0.41922178864715764","","","0.22964509394572025","","10","1.5281455950064875","65.34446764091858","0.2035490605427975","","1.5647795093873218","0.00700514266598","0.41922178864715764","","1.5281455950064875","0.31622776601683794","","","626","332","49.45045096797422","","","","0.49792748582590873","","0.22964509394572025","","0","80.69748634203775","1","0.8254263058624274","0.2035490605427975","","0.5296140926922863","0","0.314300141070155","0.7435139920705185","1.5647795093873218","0.5296140926922863","2","0.9962734323876977","","","0.30062630480167013","","1.5380365413865855","","0.6678422957003733","","0.9989550679205852","","0.5296140926922863","0.7703626005619924","34.65553235908142","3","0","","0.8254263058624274","","","0.23903966597077245","","0.49792748582590873","","0.7703626005619924","0.23903966597077245","0.33996784812064595","0.028183716075156576","0.9367427892257802","","","0.7435139920705185","0.7461459255552562","0","0.018825995881285557","0.01355667250927","0.7435139920705185","0.22964509394572025","0.9309539862507961","0.41922178864715764","0.2035490605427975","","2.9"
"monks-problems-1 (1)","358455","556","7","2","0","0","","","","","7","0.9996639598468491","","0.000184375303945","","0.30564217262535","","100","","","0.012589928057553957","0.079132328414895","","","","","","","","42.857142857142854","0.9998529861022931","50","","","1.9998697229407525","0.00003735261793","","","1.5845931125102337","0.7559289460184545","","","278","278","19.28693034685815","","","","","","","","0","27.138145109044974","3","","","","","0","","","1.6886437299661348","","2","","","","","","1.4589229391616843","","","","0.8162162162162162","","","","50","4","0","","","","","","","","","","","","","","","","","","0","0.051848582538325","0.000774770054655","","","1","","","","2.7142857142857144"
"steel-plates-fault (1)","276968","1941","34","2","0","33","0.01287995878413189","1650738.7053065428","0.3317877382792375","2.9375932293060005","1","","0.9341301015744745","","-0.13130504894384337","","0.8700801687218684","2.941176470588235","1","","0.01751674394641937","","0.18930051226112798","39.29315840666627","0.9716573320335522","","","0.05873261205564142","-1.0610900871365136","2.941176470588235","","65.32715095311696","0","0.20427614631633056","","","0.9716573320335522","0.6105286450283357","","0","0.20962814019436693","0.2722896631818028","1268","673","","0.48235199045249033","222.89350520599646","1774590.0890002127","0.8700801687218684","123291.94556078123","0.05873261205564142","0.8514222506284619","97.05882352941177","","1","1","0","1663.0518475718168","1","0","0.38794540294607877","0.9957450747863749","","1","2","0.9964475886022844","","-1.8563564132863728","0.3467284904688305","0.05896116935205036","","3.6458966474516092","0.649386428300233","-0.9285824124769803","0.9994845360824742","","1","0.9341301015744745","34.672849046883044","2","0","106447.78586589223","1","11.357384183179548","","0.01287995878413189","","0.8700801687218684","121.0244719216897","0.9341301015744745","0.01287995878413189","0","0.0061823802163833074","0.9864096884940965","91.64638873109897","","0.9957450747863749","0.8773886527469534","0","","","0.9957450747863749","0.05873261205564142","0.9311123348674444","0.9716573320335522","0","","2"
"kr-vs-kp (1)","266964","3196","37","2","0","0","0.05913642052565707","","0.12108886107634544","","37","0.004094030352641959","0.9451363376145694","0.000777595577705","","0.19826687955488","0.8908498653739637","100","0.997615519019934","","0.011576971214017523","0.0184861208375775","","","0.8811920214059075","","","0.05444305381727159","","94.5945945945946","0.28756000355035294","52.221526908635795","0.01376720901126408","","0.9956521852360185","1.18053e-9","0.8811920214059075","","0.6794996247614244","0.1643989873053572","","","1669","1527","52.14040169716265","","","","0.8908498653739637","","0.05444305381727159","","0","29.814462977732955","35","0.997615519019934","0.01376720901126408","","0.972417266903898","0","0.7569708778154078","0.9619120657405762","0.9132329806576945","0.972417266903898","2","0.9728427352982838","","","0.33948685857321653","","0.5901482912442314","","0.6714034536324981","","0.9990610328638497","","0.972417266903898","0.9451363376145694","47.778473091364205","3","0","","0.997615519019934","","","0.05913642052565707","","0.8908498653739637","","0.9451363376145694","0.05913642052565707","0.3396437687719142","0.06914893617021277","0.8609676573571107","","","0.9619120657405762","0.9520419938608541","0","0.01915166562113","0.00542648921343","0.9619120657405762","0.05444305381727159","0.9985755386554582","0.8811920214059075","0.01376720901126408","","2.027027027027027"
"qsar-biodeg (1)","260955","1055","42","2","0","41","","37.05563981042654","","5.71301396137191","1","","","","-0.19712890995260657","","","2.380952380952381","","","0.03981042654028436","","11.774168018977946","26.8459832401498","","","","","3.3827125097328232","2.380952380952381","","66.25592417061611","","0.1018957345971567","","","","1.1311061611374407","","0","1.4117810033993186","0.24107082602380436","699","356","","0.8313081690630236","2.030064187689424","11.895889198588367","","1.59439601555547","","2.6154182195603193","97.61904761904762","","1","","","812.724026378075","","0","","","","","2","","","-0.22188039038879026","","0.030142956511920223","","3.7986392200533","","-1.7621976606259557","0.9971537001897534","","","","33.74407582938389","2","0","2.6835215743844643","","46.88794675069531","","","","","2.6133805687203795","","","","","","44.71323748559371","","","","0","","","","","0.9223486063040569","","","","2"
"wdbc (1)","222206","569","31","2","0","30","","880.5831282952547","","1.9754487571153525","1","","","","0.0037949033391915642","","","3.225806451612903","","","0.054481546572934976","","3.022590146044739","5.447186284898407","","","","","0.9651825547526209","3.225806451612903","","62.741652021089635","","0.05932799384885764","","","","0.21771345342706502","","0","0.9785827119630317","0.018022995343089827","357","212","","0.072726074660982","4.434087221242544","569.3569926699494","","34.904718603211656","","1.4175537695584106","96.7741935483871","","1","","","49.20907650724138","","0","","","","","2","","","-0.5355351225188612","","0.002646071523977847","","1.740406628520751","","0.4154259962824675","0.625","","","","37.258347978910365","2","0","61.89071233954305","","5.985908976234704","","","","","17.024304481546572","","","","","","7.8147348251102615","","","","0","","","","","0.9526351224018599","","","","2"
"phoneme (1)","213703","5404","6","2","0","5","0.1815321983715766","6.1065877123851385e-9","0.24037749814951886","1.363664264477732","1","","0.8065602505421655","","-6.698741675291565e-8","","0.6203230053600308","16.666666666666664","0.8756328290298097","","0.0011102886750555144","","-0.3066496518690336","1.482393052784835","0.5579430305860378","","","0.15562546262028126","-0.6590595801379302","16.666666666666664","","70.65136935603256","0.1659881569207994","-3.821243527730011e-8","","","0.5579430305860378","3.3308660617082098e-9","","0","0.34288338170102217","0.9999999997309185","3818","1586","","1.000000003087631","1.000000010267071","1.0000000160707985","0.6203230053600308","1.000000004616722","0.15562546262028126","0.4842310006900062","83.33333333333334","","1","0.8756328290298097","0.1659881569207994","1.7651174033134938","0.5893753379948957","0","0.46338464605596114","0.8550177462963318","","0.5893753379948957","2","0.8367145868412517","","-0.8572834809909309","0.24740932642487046","0.9999999984765442","","0.7794652586095029","0.7404866739285669","0.2094948505005711","0.5918933925596891","","0.5893753379948957","0.8065602505421655","29.348630643967432","2","0","-1.2287194680574282e-8","0.8756328290298097","1.6617568775963694","","0.1815321983715766","","0.6203230053600308","5.829015545010302e-9","0.8065602505421655","0.1815321983715766","0.4488154160690855","0.12675795706883788","0.6877227093332758","0.33974898860956887","","0.8550177462963318","0.8173487304115306","0","","","0.8550177462963318","0.15562546262028126","0.8731822577241406","0.5579430305860378","0.1659881569207994","","2"
