Name,NumberOfNumericFeatures,PercentageOfNumericFeatures,MinMeansOfNumericAtts,MinStdDevOfNumericAtts,MinKurtosisOfNumericAtts,MinSkewnessOfNumericAtts,MeanMeansOfNumericAtts,MeanStdDevOfNumericAtts,MeanKurtosisOfNumericAtts,MeanSkewnessOfNumericAtts,MaxMeansOfNumericAtts,MaxStdDevOfNumericAtts,MaxKurtosisOfNumericAtts,MaxSkewnessOfNumericAtts,Quartile1MeansOfNumericAtts,Quartile2MeansOfNumericAtts,Quartile3MeansOfNumericAtts,Quartile1StdDevOfNumericAtts,Quartile2StdDevOfNumericAtts,Quartile3StdDevOfNumericAtts,Quartile1KurtosisOfNumericAtts,Quartile2KurtosisOfNumericAtts,Quartile3KurtosisOfNumericAtts,Quartile1SkewnessOfNumericAtts,Quartile2SkewnessOfNumericAtts,Quartile3SkewnessOfNumericAtts,NumberOfSymbolicFeatures,NumberOfBinaryFeatures,PercentageOfSymbolicFeatures,PercentageOfBinaryFeatures,MinAttributeEntropy,MeanAttributeEntropy,MaxAttributeEntropy,Quartile1AttributeEntropy,Quartile2AttributeEntropy,Quartile3AttributeEntropy,MinMutualInformation,MeanMutualInformation,MaxMutualInformation,Quartile1MutualInformation,Quartile2MutualInformation,Quartile3MutualInformation,EquivalentNumberOfAtts,MeanNoiseToSignalRatio,MinNominalAttDistinctValues,MeanNominalAttDistinctValues,MaxNominalAttDistinctValues,StdvNominalAttDistinctValues,NumberOfInstances,NumberOfFeatures,Dimensionality,NumberOfMissingValues,PercentageOfMissingValues,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfClasses,ClassEntropy,MinorityClassSize,MajorityClassSize,MinorityClassPercentage,MajorityClassPercentage
credit-g (1),7.0,33.33333333333333,1.1549999999999998,0.3620857717531919,-1.3814485027493757,-0.5313481143125632,476.5838571428569,407.0476188282117,0.9242775257981102,0.9203791257169068,3271.257999999999,2822.73687596044,4.292590308048502,1.9496276798326249,1.4069999999999998,2.9730000000000003,35.54600000000001,0.5776544682460991,1.1187146743126737,12.058814452756392,-1.2104731179379755,0.9197813600546328,1.6492736936699308,-0.2725698140337198,1.09418417155554,1.909444721297511,14.0,3.0,66.66666666666666,14.285714285714285,0.2283640258405646,1.433893225502841,2.666677759851852,0.9089779148834296,1.5321036281187237,1.8749120301493505,0.00096366001491,0.02021632305905615,0.09473884155264,0.005310005973834999,0.01275318647802,0.02650410754481,43.593036016305035,69.92749860170595,2.0,4.0,10.0,2.0380986614602725,1000.0,21.0,0.021,0.0,0.0,0.0,0.0,2.0,0.8812908992306927,300.0,700.0,30.0,70.0
blood-transfusion-service-center (1),4.0,80.0,5.514705882352952,5.8393071230900295,-0.2456311794024257,0.7494502906271294,356.99498663101565,374.53454947487677,10.224505250350347,2.263111192925173,1378.6764705882335,1459.826780772504,15.876151978542008,3.2112654741848643,6.512700534759368,21.894385026737986,1042.5778743315498,6.403329251142325,16.23605500195668,1100.9642641715316,2.1636136713782106,12.633750101130905,15.876151978541927,1.0322036011463176,2.5458645034443492,3.2112654741848523,1.0,1.0,20.0,20.0,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,748.0,5.0,0.0066844919786096255,0.0,0.0,0.0,0.0,2.0,0.7916446298452329,178.0,570.0,23.79679144385027,76.20320855614973
monks-problems-2 (1),0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,100.0,42.857142857142854,0.9999820261996926,1.4589306695469753,1.9993734446391016,0.99999400873876,1.5846420186297692,1.6885532408585775,7.829360624e-05,0.0036320460501,0.006842143298770001,0.0012604335734449999,0.003758454643025,0.0059858732349625,255.3484468550428,400.68286674305983,2.0,2.7142857142857144,4.0,0.7559289460184545,601.0,7.0,0.011647254575707157,0.0,0.0,0.0,0.0,2.0,0.9274373177990278,206.0,395.0,34.27620632279534,65.72379367720465
tic-tac-toe (1),0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,100.0,10.0,1.4706284549040332,1.5380365413865855,1.5647795093873218,1.5281455950064875,1.5281455950064875,1.5647795093873218,0.007005142665979999,0.01882599588128556,0.08718670223057,0.007005142665979999,0.01355667250927,0.01355667250927,49.45045096797421,80.69748634203775,2.0,2.9,3.0,0.31622776601683794,958.0,10.0,0.010438413361169102,0.0,0.0,0.0,0.0,2.0,0.9309539862507958,332.0,626.0,34.65553235908142,65.34446764091858
monks-problems-1 (1),0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,100.0,42.857142857142854,0.9996639598468492,1.4589229391616845,1.9998697229407525,0.9998529861022932,1.5845931125102335,1.6886437299661348,3.735261793e-05,0.051848582538324986,0.30564217262535,0.000184375303945,0.000774770054655,0.07913232841489501,19.28693034685815,27.138145109044967,2.0,2.7142857142857144,4.0,0.7559289460184545,556.0,7.0,0.012589928057553957,0.0,0.0,0.0,0.0,2.0,1.0,278.0,278.0,50.0,50.0
steel-plates-fault (1),33.0,97.05882352941177,-0.13130504894384334,0.05896116935205036,-1.8563564132863728,-0.9285824124769804,106447.78586589225,123291.94556078126,91.64638873109895,3.645896647451609,1650738.7053065428,1774590.0890002127,1663.0518475718168,39.29315840666627,0.20427614631633054,0.6105286450283357,121.0244719216897,0.2722896631818028,0.4823519904524903,222.89350520599646,-1.0610900871365136,0.189300512261128,11.357384183179548,0.20962814019436693,0.8514222506284619,2.9375932293060005,1.0,1.0,2.9411764705882346,2.9411764705882346,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,1941.0,34.0,0.017516743946419368,0.0,0.0,0.0,0.0,2.0,0.9311123348674444,673.0,1268.0,34.67284904688305,65.32715095311696
kr-vs-kp (1),0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,37.0,35.0,100.0,94.5945945945946,0.004094030352641959,0.5901482912442314,0.9956521852360184,0.2875600035503529,0.6794996247614244,0.9132329806576944,1.18053e-09,0.01915166562113,0.19826687955488,0.000777595577705,0.00542648921343,0.0184861208375775,52.140401697162645,29.814462977732955,2.0,2.0270270270270268,3.0,0.1643989873053572,3196.0,37.0,0.011576971214017523,0.0,0.0,0.0,0.0,2.0,0.9985755386554582,1527.0,1669.0,47.77847309136421,52.221526908635795
qsar-biodeg (1),41.0,97.61904761904762,-0.1971289099526065,0.030142956511920223,-0.22188039038879026,-1.7621976606259555,2.6835215743844643,1.59439601555547,44.71323748559371,3.7986392200533,37.05563981042654,11.895889198588364,812.724026378075,26.845983240149803,0.1018957345971567,1.131106161137441,2.6133805687203795,0.2410708260238044,0.8313081690630236,2.0300641876894243,3.3827125097328232,11.774168018977944,46.88794675069531,1.4117810033993186,2.61541821956032,5.71301396137191,1.0,1.0,2.380952380952381,2.380952380952381,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,1055.0,42.0,0.03981042654028436,0.0,0.0,0.0,0.0,2.0,0.9223486063040568,356.0,699.0,33.74407582938389,66.25592417061611
wdbc (1),30.0,96.77419354838707,0.0037949033391915642,0.002646071523977847,-0.5355351225188612,0.4154259962824675,61.89071233954305,34.904718603211656,7.8147348251102615,1.740406628520751,880.5831282952548,569.3569926699494,49.209076507241384,5.447186284898407,0.05932799384885764,0.21771345342706505,17.024304481546572,0.018022995343089827,0.07272607466098199,4.434087221242544,0.9651825547526208,3.022590146044739,5.985908976234704,0.9785827119630316,1.4175537695584106,1.9754487571153525,1.0,1.0,3.2258064516129035,3.2258064516129035,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,569.0,31.0,0.054481546572934976,0.0,0.0,0.0,0.0,2.0,0.9526351224018601,212.0,357.0,37.258347978910365,62.74165202108964
phoneme (1),5.0,83.33333333333334,-6.698741675291565e-08,0.9999999984765442,-0.8572834809909309,0.2094948505005711,-1.228719468057428e-08,1.000000004616722,0.3397489886095689,0.7794652586095029,6.1065877123851385e-09,1.0000000160707985,1.7651174033134938,1.482393052784835,-3.821243527730011e-08,3.3308660617082098e-09,5.829015545010302e-09,0.9999999997309184,1.000000003087631,1.000000010267071,-0.6590595801379302,-0.3066496518690336,1.6617568775963694,0.34288338170102217,0.4842310006900062,1.363664264477732,1.0,1.0,16.666666666666664,16.666666666666664,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,5404.0,6.0,0.0011102886750555144,0.0,0.0,0.0,0.0,2.0,0.8731822577241406,1586.0,3818.0,29.34863064396743,70.65136935603256
