Id,Name,Runs,NumberOfInstances,NumberOfFeatures,NumberOfClasses,NumberOfMissingValues,NumberOfNumericFeatures,CfsSubsetEval_NaiveBayesErrRate,MaxMeansOfNumericAtts,NaiveBayesErrRate,Quartile3SkewnessOfNumericAtts,NumberOfSymbolicFeatures,MinAttributeEntropy,RandomTreeDepth2AUC,Quartile1MutualInformation,MinMeansOfNumericAtts,MaxMutualInformation,RandomTreeDepth3Kappa,PercentageOfSymbolicFeatures,REPTreeDepth2AUC,J48.001.ErrRate,Dimensionality,Quartile3MutualInformation,Quartile2KurtosisOfNumericAtts,MaxSkewnessOfNumericAtts,CfsSubsetEval_DecisionStumpKappa,J48.0001.ErrRate,J48.00001.Kappa,RandomTreeDepth2ErrRate,Quartile1KurtosisOfNumericAtts,PercentageOfBinaryFeatures,Quartile1AttributeEntropy,MajorityClassPercentage,REPTreeDepth2ErrRate,Quartile1MeansOfNumericAtts,MaxAttributeEntropy,MinMutualInformation,CfsSubsetEval_NaiveBayesKappa,Quartile2MeansOfNumericAtts,Quartile2AttributeEntropy,StdvNominalAttDistinctValues,Quartile1SkewnessOfNumericAtts,Quartile1StdDevOfNumericAtts,MajorityClassSize,MinorityClassSize,EquivalentNumberOfAtts,Quartile2StdDevOfNumericAtts,Quartile3StdDevOfNumericAtts,MaxStdDevOfNumericAtts,RandomTreeDepth2Kappa,MeanStdDevOfNumericAtts,RandomTreeDepth3ErrRate,Quartile2SkewnessOfNumericAtts,PercentageOfNumericFeatures,MeanNoiseToSignalRatio,NumberOfBinaryFeatures,REPTreeDepth1AUC,REPTreeDepth1ErrRate,MaxKurtosisOfNumericAtts,REPTreeDepth2Kappa,NumberOfInstancesWithMissingValues,NaiveBayesKappa,CfsSubsetEval_NaiveBayesAUC,Quartile3AttributeEntropy,REPTreeDepth3Kappa,MinNominalAttDistinctValues,kNN1NAUC,J48.001.Kappa,MinKurtosisOfNumericAtts,DecisionStumpErrRate,MinStdDevOfNumericAtts,MeanAttributeEntropy,MeanSkewnessOfNumericAtts,DecisionStumpAUC,MinSkewnessOfNumericAtts,AutoCorrelation,J48.00001.AUC,REPTreeDepth1Kappa,RandomTreeDepth3AUC,MinorityClassPercentage,MaxNominalAttDistinctValues,PercentageOfInstancesWithMissingValues,MeanMeansOfNumericAtts,REPTreeDepth3AUC,Quartile3KurtosisOfNumericAtts,J48.0001.Kappa,CfsSubsetEval_DecisionStumpErrRate,J48.00001.ErrRate,RandomTreeDepth1Kappa,Quartile3MeansOfNumericAtts,RandomTreeDepth1AUC,CfsSubsetEval_kNN1NErrRate,DecisionStumpKappa,kNN1NErrRate,kNN1NKappa,MeanKurtosisOfNumericAtts,J48.001.AUC,CfsSubsetEval_kNN1NAUC,NaiveBayesAUC,PercentageOfMissingValues,MeanMutualInformation,Quartile2MutualInformation,CfsSubsetEval_DecisionStumpAUC,RandomTreeDepth1ErrRate,ClassEntropy,CfsSubsetEval_kNN1NKappa,REPTreeDepth3ErrRate,J48.0001.AUC,MeanNominalAttDistinctValues
31,credit-g (1),504172,1000.0,21.0,2.0,0.0,7.0,0.273,3271.257999999999,0.248,1.909444721297511,14.0,0.2283640258405646,0.6580238095238096,0.005310005973834999,1.1549999999999998,0.09473884155264,0.2781007751937982,66.66666666666666,0.7002928571428572,,0.021,0.026504107544810005,0.9197813600546328,1.9496276798326249,0.3056968463886062,,,0.298,-1.2104731179379755,14.285714285714285,0.9089779148834296,70.0,0.26899999999999996,1.4069999999999998,2.666677759851852,0.0009636600149100001,0.3056968463886062,2.9730000000000003,1.5321036281187237,2.0380986614602725,-0.2725698140337198,0.5776544682460991,700.0,300.0,43.593036016305035,1.1187146743126737,12.058814452756392,2822.73687596044,0.2781007751937982,407.0476188282117,0.298,1.09418417155554,33.33333333333333,69.92749860170595,3.0,0.7002928571428572,0.26899999999999996,4.292590308048502,0.222543352601156,0.0,0.3724696356275304,0.7208285714285714,1.8749120301493505,0.222543352601156,2.0,0.649047619047619,,-1.3814485027493757,0.3,0.3620857717531919,1.433893225502841,0.9203791257169068,0.6647619047619048,-0.5313481143125632,0.5695695695695696,,0.222543352601156,0.6580238095238096,30.0,10.0,0.0,476.5838571428569,0.7002928571428572,1.6492736936699308,,0.273,,0.2781007751937982,35.54600000000001,0.6580238095238096,0.273,0.0,0.28600000000000003,0.3044747081712061,0.9242775257981102,,0.7208285714285714,0.786047619047619,0.0,0.02021632305905615,0.01275318647802,0.7208285714285714,0.298,0.8812908992306927,0.3056968463886062,0.26899999999999996,,4.0
1464,blood-transfusion-service-center (1),462271,748.0,5.0,2.0,0.0,4.0,,1378.6764705882335,,3.2112654741848523,1.0,,,,5.514705882352952,,,20.0,,,0.0066844919786096255,,12.633750101130905,3.2112654741848643,,,,,2.1636136713782106,20.0,,76.20320855614973,,6.512700534759368,,,,21.894385026737982,,0.0,1.0322036011463176,6.403329251142325,570.0,178.0,,16.23605500195668,1100.9642641715316,1459.826780772504,,374.53454947487677,,2.545864503444349,80.0,,1.0,,,15.876151978542007,,0.0,,,,,2.0,,,-0.2456311794024257,,5.8393071230900295,,2.2631111929251735,,0.7494502906271294,0.7309236947791165,,,,23.79679144385027,2.0,0.0,356.99498663101565,,15.876151978541927,,,,,1042.5778743315498,,,,,,10.224505250350347,,,,0.0,,,,,0.7916446298452329,,,,2.0
334,monks-problems-2 (1),394295,601.0,7.0,2.0,0.0,0.0,,,,,7.0,0.9999820261996926,,0.001260433573445,,0.006842143298770001,,100.0,,,0.011647254575707157,0.0059858732349625,,,,,,,,42.857142857142854,0.9999940087387601,65.72379367720465,,,1.9993734446391016,7.829360624e-05,,,1.5846420186297692,0.7559289460184545,,,395.0,206.0,255.3484468550428,,,,,,,,0.0,400.68286674305983,3.0,,,,,0.0,,,1.6885532408585775,,2.0,,,,,,1.4589306695469753,,,,0.44,,,,34.27620632279534,4.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0036320460501,0.003758454643025,,,0.9274373177990278,,,,2.7142857142857144
50,tic-tac-toe (1),380869,958.0,10.0,2.0,0.0,0.0,0.23903966597077245,,0.2870563674321503,,10.0,1.4706284549040332,0.7703626005619924,0.007005142665979999,,0.08718670223057,0.4979274858259087,100.0,0.8254263058624274,,0.010438413361169102,0.01355667250927,,,0.4192217886471576,,,0.22964509394572025,,10.0,1.5281455950064875,65.34446764091858,0.2035490605427975,,1.5647795093873218,0.007005142665979999,0.4192217886471576,,1.5281455950064875,0.31622776601683794,,,626.0,332.0,49.45045096797421,,,,0.4979274858259087,,0.22964509394572025,,0.0,80.69748634203775,1.0,0.8254263058624274,0.2035490605427975,,0.5296140926922863,0.0,0.314300141070155,0.7435139920705185,1.5647795093873218,0.5296140926922863,2.0,0.9962734323876976,,,0.3006263048016701,,1.5380365413865855,,0.6678422957003733,,0.9989550679205852,,0.5296140926922863,0.7703626005619924,34.65553235908142,3.0,0.0,,0.8254263058624274,,,0.23903966597077245,,0.4979274858259087,,0.7703626005619924,0.23903966597077245,0.33996784812064595,0.028183716075156576,0.9367427892257802,,,0.7435139920705185,0.7461459255552562,0.0,0.01882599588128556,0.01355667250927,0.7435139920705185,0.22964509394572025,0.930953986250796,0.4192217886471576,0.2035490605427975,,2.9
333,monks-problems-1 (1),358455,556.0,7.0,2.0,0.0,0.0,,,,,7.0,0.9996639598468492,,0.00018437530394499997,,0.30564217262535,,100.0,,,0.012589928057553957,0.07913232841489501,,,,,,,,42.857142857142854,0.9998529861022932,50.0,,,1.9998697229407525,3.735261793e-05,,,1.5845931125102335,0.7559289460184545,,,278.0,278.0,19.28693034685815,,,,,,,,0.0,27.138145109044967,3.0,,,,,0.0,,,1.6886437299661348,,2.0,,,,,,1.4589229391616845,,,,0.8162162162162162,,,,50.0,4.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.05184858253832499,0.000774770054655,,,1.0,,,,2.7142857142857144
1504,steel-plates-fault (1),276968,1941.0,34.0,2.0,0.0,33.0,0.01287995878413189,1650738.7053065428,0.3317877382792375,2.9375932293060005,1.0,,0.9341301015744744,,-0.13130504894384334,,0.8700801687218684,2.9411764705882346,1.0,,0.017516743946419368,,0.189300512261128,39.29315840666627,0.9716573320335522,,,0.058732612055641426,-1.0610900871365136,2.9411764705882346,,65.32715095311696,0.0,0.20427614631633054,,,0.9716573320335522,0.6105286450283357,,0.0,0.20962814019436693,0.2722896631818028,1268.0,673.0,,0.4823519904524903,222.89350520599646,1774590.0890002127,0.8700801687218684,123291.94556078126,0.058732612055641426,0.8514222506284619,97.05882352941177,,1.0,1.0,0.0,1663.0518475718168,1.0,0.0,0.3879454029460788,0.9957450747863748,,1.0,2.0,0.9964475886022844,,-1.8563564132863728,0.3467284904688305,0.05896116935205036,,3.645896647451609,0.6493864283002329,-0.9285824124769804,0.9994845360824742,,1.0,0.9341301015744744,34.67284904688305,2.0,0.0,106447.78586589225,1.0,11.357384183179548,,0.01287995878413189,,0.8700801687218684,121.0244719216897,0.9341301015744744,0.01287995878413189,0.0,0.0061823802163833074,0.9864096884940964,91.64638873109895,,0.9957450747863748,0.8773886527469534,0.0,,,0.9957450747863748,0.058732612055641426,0.9311123348674444,0.9716573320335522,0.0,,2.0
3,kr-vs-kp (1),266964,3196.0,37.0,2.0,0.0,0.0,0.059136420525657075,,0.12108886107634545,,37.0,0.004094030352641959,0.9451363376145694,0.000777595577705,,0.19826687955488,0.8908498653739637,100.0,0.9976155190199341,,0.011576971214017523,0.0184861208375775,,,0.8811920214059075,,,0.05444305381727159,,94.5945945945946,0.2875600035503529,52.221526908635795,0.013767209011264079,,0.9956521852360184,1.1805299999999999e-09,0.8811920214059075,,0.6794996247614244,0.1643989873053572,,,1669.0,1527.0,52.140401697162645,,,,0.8908498653739637,,0.05444305381727159,,0.0,29.814462977732955,35.0,0.9976155190199341,0.013767209011264079,,0.972417266903898,0.0,0.7569708778154078,0.9619120657405762,0.9132329806576944,0.972417266903898,2.0,0.9728427352982838,,,0.3394868585732165,,0.5901482912442314,,0.6714034536324981,,0.9990610328638496,,0.972417266903898,0.9451363376145694,47.77847309136421,3.0,0.0,,0.9976155190199341,,,0.059136420525657075,,0.8908498653739637,,0.9451363376145694,0.059136420525657075,0.3396437687719142,0.06914893617021277,0.8609676573571107,,,0.9619120657405762,0.952041993860854,0.0,0.01915166562113,0.00542648921343,0.9619120657405762,0.05444305381727159,0.9985755386554582,0.8811920214059075,0.013767209011264079,,2.0270270270270268
1494,qsar-biodeg (1),260955,1055.0,42.0,2.0,0.0,41.0,,37.05563981042654,,5.71301396137191,1.0,,,,-0.19712890995260654,,,2.380952380952381,,,0.03981042654028436,,11.774168018977944,26.845983240149803,,,,,3.3827125097328232,2.380952380952381,,66.25592417061611,,0.1018957345971567,,,,1.131106161137441,,0.0,1.4117810033993186,0.2410708260238044,699.0,356.0,,0.8313081690630236,2.0300641876894243,11.895889198588366,,1.59439601555547,,2.6154182195603197,97.61904761904762,,1.0,,,812.724026378075,,0.0,,,,,2.0,,,-0.22188039038879026,,0.030142956511920223,,3.7986392200532997,,-1.7621976606259555,0.9971537001897534,,,,33.74407582938389,2.0,0.0,2.6835215743844643,,46.88794675069531,,,,,2.6133805687203795,,,,,,44.71323748559371,,,,0.0,,,,,0.9223486063040568,,,,2.0
1510,wdbc (1),222206,569.0,31.0,2.0,0.0,30.0,,880.5831282952548,,1.9754487571153525,1.0,,,,0.0037949033391915642,,,3.2258064516129035,,,0.054481546572934976,,3.022590146044739,5.447186284898407,,,,,0.9651825547526208,3.2258064516129035,,62.74165202108964,,0.05932799384885764,,,,0.21771345342706505,,0.0,0.9785827119630316,0.018022995343089827,357.0,212.0,,0.07272607466098199,4.434087221242544,569.3569926699494,,34.904718603211656,,1.4175537695584106,96.77419354838709,,1.0,,,49.209076507241384,,0.0,,,,,2.0,,,-0.5355351225188612,,0.002646071523977847,,1.740406628520751,,0.4154259962824675,0.625,,,,37.258347978910365,2.0,0.0,61.89071233954305,,5.985908976234704,,,,,17.024304481546572,,,,,,7.814734825110261,,,,0.0,,,,,0.95263512240186,,,,2.0
1489,phoneme (1),213703,5404.0,6.0,2.0,0.0,5.0,0.1815321983715766,6.1065877123851385e-09,0.2403774981495189,1.363664264477732,1.0,,0.8065602505421655,,-6.698741675291565e-08,,0.6203230053600308,16.666666666666664,0.8756328290298097,,0.0011102886750555144,,-0.3066496518690336,1.482393052784835,0.5579430305860378,,,0.15562546262028126,-0.6590595801379302,16.666666666666664,,70.65136935603256,0.1659881569207994,-3.821243527730011e-08,,,0.5579430305860378,3.3308660617082098e-09,,0.0,0.34288338170102217,0.9999999997309184,3818.0,1586.0,,1.000000003087631,1.000000010267071,1.0000000160707985,0.6203230053600308,1.0000000046167221,0.15562546262028126,0.4842310006900062,83.33333333333334,,1.0,0.8756328290298097,0.1659881569207994,1.7651174033134938,0.5893753379948957,0.0,0.4633846460559611,0.8550177462963318,,0.5893753379948957,2.0,0.8367145868412517,,-0.8572834809909309,0.2474093264248705,0.9999999984765442,,0.7794652586095029,0.7404866739285669,0.2094948505005711,0.5918933925596891,,0.5893753379948957,0.8065602505421655,29.34863064396743,2.0,0.0,-1.228719468057428e-08,0.8756328290298097,1.6617568775963694,,0.1815321983715766,,0.6203230053600308,5.829015545010302e-09,0.8065602505421655,0.1815321983715766,0.4488154160690855,0.12675795706883788,0.6877227093332758,0.3397489886095689,,0.8550177462963318,0.8173487304115306,0.0,,,0.8550177462963318,0.15562546262028126,0.8731822577241406,0.5579430305860378,0.1659881569207994,,2.0
