Name,NumberOfInstances,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,NumberOfClasses,MajorityClassPercentage
credit-g (1),1000.0,0.0,7.0,14.0,2.0,70.0
blood-transfusion-service-center (1),748.0,0.0,4.0,1.0,2.0,76.20320855614973
monks-problems-2 (1),601.0,0.0,0.0,7.0,2.0,65.72379367720465
tic-tac-toe (1),958.0,0.0,0.0,10.0,2.0,65.34446764091858
monks-problems-1 (1),556.0,0.0,0.0,7.0,2.0,50.0
steel-plates-fault (1),1941.0,0.0,33.0,1.0,2.0,65.32715095311696
kr-vs-kp (1),3196.0,0.0,0.0,37.0,2.0,52.221526908635795
qsar-biodeg (1),1055.0,0.0,41.0,1.0,2.0,66.25592417061611
wdbc (1),569.0,0.0,30.0,1.0,2.0,62.74165202108964
phoneme (1),5404.0,0.0,5.0,1.0,2.0,70.65136935603256
diabetes (1),768.0,0.0,8.0,1.0,2.0,65.10416666666666
hill-valley (1),1212.0,0.0,100.0,1.0,2.0,50.0
ozone-level-8hr (1),2534.0,0.0,72.0,1.0,2.0,93.6858721389108
kc2 (1),522.0,0.0,21.0,1.0,2.0,79.50191570881226
eeg-eye-state (1),14980.0,0.0,14.0,1.0,2.0,55.12016021361814
climate-model-simulation-crashes (1),540.0,0.0,20.0,1.0,2.0,91.48148148148148
spambase (1),4601.0,0.0,57.0,1.0,2.0,60.59552271245382
kc1 (1),2109.0,0.0,21.0,1.0,2.0,84.54243717401611
ilpd (1),583.0,0.0,9.0,2.0,2.0,71.35506003430531
pc1 (1),1109.0,0.0,21.0,1.0,2.0,93.05680793507663
one-hundred-plants-shape (1),1600.0,0.0,64.0,1.0,100.0,1.0
one-hundred-plants-texture (1),1599.0,0.0,64.0,1.0,100.0,1.0006253908692933
one-hundred-plants-margin (1),1600.0,0.0,64.0,1.0,100.0,1.0
pc3 (1),1563.0,0.0,37.0,1.0,2.0,89.76327575175944
banknote-authentication (1),1372.0,0.0,4.0,1.0,2.0,55.53935860058309
mozilla4 (1),15545.0,0.0,5.0,1.0,2.0,67.1405596654873
pc4 (1),1458.0,0.0,37.0,1.0,2.0,87.79149519890261
monks-problems-3 (1),554.0,0.0,0.0,7.0,2.0,51.985559566787
electricity (1),45312.0,0.0,7.0,2.0,2.0,57.545462570621474
madelon (1),2600.0,0.0,500.0,1.0,2.0,50.0
scene (1),2407.0,0.0,294.0,6.0,2.0,82.09389281262982
musk (1),6598.0,0.0,167.0,3.0,2.0,84.58623825401637
gina_agnostic (1),3468.0,0.0,970.0,1.0,2.0,50.83621683967705
letter (1),20000.0,0.0,16.0,1.0,26.0,4.065
amazon-commerce-reviews (1),1500.0,0.0,10000.0,1.0,50.0,2.0
nomao (1),34465.0,0.0,89.0,30.0,2.0,71.43769041056144
MagicTelescope (1),19020.0,0.0,11.0,1.0,2.0,64.83701366982125
bank-marketing (1),45211.0,0.0,7.0,10.0,2.0,88.30151954170445
Click_prediction_small (5),39948.0,0.0,11.0,1.0,2.0,83.15810553719834
PhishingWebsites (1),11055.0,0.0,0.0,31.0,2.0,55.69425599276345
isolet (1),7797.0,0.0,617.0,1.0,26.0,3.8476337052712575
Bioresponse (1),3751.0,0.0,1776.0,1.0,2.0,54.22553985603839
soybean (1),683.0,2337.0,0.0,36.0,19.0,13.46998535871157
micro-mass (2),571.0,0.0,1300.0,1.0,20.0,10.507880910683012
Amazon_employee_access (1),32769.0,0.0,0.0,10.0,2.0,94.21099209618849
abalone (1),4177.0,0.0,7.0,2.0,28.0,16.49509217141489
mfeat-karhunen (1),2000.0,0.0,64.0,1.0,10.0,10.0
mfeat-factors (1),2000.0,0.0,216.0,1.0,10.0,10.0
mfeat-morphological (1),2000.0,0.0,6.0,1.0,10.0,10.0
mfeat-fourier (1),2000.0,0.0,76.0,1.0,10.0,10.0
mfeat-zernike (1),2000.0,0.0,47.0,1.0,10.0,10.0
optdigits (1),5620.0,0.0,64.0,1.0,10.0,10.177935943060499
pendigits (1),10992.0,0.0,16.0,1.0,10.0,10.407569141193596
SpeedDating (1),8378.0,18372.0,59.0,64.0,2.0,83.52828837431369
semeion (1),1593.0,0.0,256.0,1.0,10.0,10.16949152542373
mfeat-pixel (1),2000.0,0.0,0.0,241.0,10.0,10.0
analcatdata_dmft (1),797.0,0.0,0.0,5.0,6.0,19.44792973651192
cnae-9 (1),1080.0,0.0,856.0,1.0,9.0,11.111111111111107
vehicle (1),846.0,0.0,18.0,1.0,4.0,25.768321513002363
eucalyptus (1),736.0,448.0,14.0,6.0,5.0,29.076086956521745
satimage (1),6430.0,0.0,36.0,1.0,6.0,23.810264385692072
vowel (2),990.0,0.0,10.0,3.0,11.0,9.090909090909092
analcatdata_authorship (1),841.0,0.0,70.0,1.0,4.0,37.69322235434007
balance-scale (1),625.0,0.0,4.0,1.0,3.0,46.08
artificial-characters (1),10218.0,0.0,7.0,1.0,10.0,13.857897827363475
cardiotocography (1),2126.0,0.0,35.0,1.0,10.0,27.234242709313268
credit-approval (1),690.0,67.0,6.0,10.0,2.0,55.5072463768116
first-order-theorem-proving (1),6118.0,0.0,51.0,1.0,6.0,41.745668519123896
breast-w (1),699.0,16.0,9.0,1.0,2.0,65.52217453505007
segment (1),2310.0,0.0,19.0,1.0,7.0,14.285714285714285
JapaneseVowels (1),9961.0,0.0,14.0,1.0,9.0,16.20319245055717
cmc (1),1473.0,0.0,2.0,8.0,3.0,42.70196877121521
GesturePhaseSegmentationProcessed (1),9873.0,0.0,32.0,1.0,5.0,29.879469259596878
synthetic_control (1),600.0,0.0,60.0,2.0,6.0,16.666666666666664
wall-robot-navigation (1),5456.0,0.0,24.0,1.0,4.0,40.414222873900286
splice (1),3190.0,0.0,0.0,61.0,3.0,51.88087774294671
har (1),10299.0,0.0,561.0,1.0,6.0,18.87561899213516
waveform-5000 (1),5000.0,0.0,40.0,1.0,3.0,33.84
cylinder-bands (2),540.0,999.0,18.0,22.0,2.0,57.77777777777778
sick (1),3772.0,6064.0,7.0,23.0,2.0,93.87592788971371
jm1 (1),10885.0,25.0,21.0,1.0,2.0,80.65227377124484
cjs (3),2796.0,68100.0,32.0,3.0,6.0,24.32045779685265
gas-drift (1),13910.0,0.0,128.0,1.0,6.0,21.63191948238677
dresses-sales (2),500.0,835.0,1.0,12.0,2.0,57.99999999999999
mushroom (1),8124.0,2480.0,0.0,23.0,2.0,51.797144263909395
irish (1),500.0,32.0,2.0,4.0,2.0,55.60000000000001
profb (1),672.0,1200.0,5.0,5.0,2.0,66.66666666666666
texture (1),5500.0,0.0,40.0,1.0,11.0,9.090909090909092
higgs (2),98050.0,9.0,28.0,1.0,2.0,52.85772565017848
anneal (1),898.0,22175.0,6.0,33.0,5.0,76.16926503340757
mnist_784 (1),70000.0,0.0,784.0,1.0,10.0,11.252857142857142
adult (2),48842.0,6465.0,6.0,9.0,2.0,76.07182343065395
LED-display-domain-7digit (1),500.0,0.0,7.0,1.0,10.0,11.4
KDDCup09_upselling (1),50000.0,8024152.0,192.0,39.0,2.0,92.636
autoUniv-au6-750 (1),750.0,0.0,37.0,4.0,8.0,22.0
autoUniv-au6-1000 (1),1000.0,0.0,37.0,4.0,8.0,24.0
KDDCup09_churn (1),50000.0,8024152.0,192.0,39.0,2.0,92.656
eating (1),945.0,0.0,6373.0,1.0,7.0,14.814814814814813
connect-4 (2),67557.0,0.0,0.0,43.0,3.0,65.8303358645292
iris (1),150.0,0.0,4.0,1.0,3.0,33.33333333333333
labor (1),57.0,326.0,8.0,9.0,2.0,64.91228070175438
audiology (1),226.0,317.0,0.0,70.0,24.0,25.221238938053087
autoUniv-au7-500 (1),500.0,0.0,8.0,5.0,5.0,38.4
autoUniv-au7-1100 (1),1100.0,0.0,8.0,5.0,5.0,27.72727272727273
churn (1),5000.0,0.0,16.0,5.0,2.0,85.86
autoUniv-au7-700 (1),700.0,0.0,8.0,5.0,3.0,35.0
arrhythmia (1),452.0,408.0,206.0,74.0,13.0,54.20353982300885
climate-model-simulation-crashes (4),540.0,0.0,20.0,1.0,2.0,91.48148148148148
